구분,신고(발견),확진,시도,시군구,읍면,리,세부주소,위도,경도,개체구분,위도_clean,경도_clean,geometry,시도_시군구
1,2019-10-02,2019-10-03,경기도,연천군,신서면,도밀리,944,38.264123,127.077756,폐사체,,,POINT (127.077756 38.264123),경기도 연천군
2,2019-10-11,2019-10-12,경기도,연천군,왕징면,강서리,986,38.090774,126.938503,수렵개체,,,POINT (126.938503 38.090774),경기도 연천군
3,2019-10-11,2019-10-12,강원도,철원군,원남면,진현리,115,38.303126,127.600284,폐사체,,,POINT (127.600284 38.303126),강원도 철원군
4,2019-10-12,2019-10-12,강원도,철원군,원남면,진현리,25,38.309478,127.602335,폐사체,,,POINT (127.602335 38.309478),강원도 철원군
5,2019-10-12,2019-10-12,강원도,철원군,원남면,진현리,21,38.310692,127.604746,폐사체,,,POINT (127.604746 38.310692),강원도 철원군
6,2019-10-14,2019-10-15,경기도,연천군,장남면,판부리,150-2,37.997654,126.868309,폐사체,,,POINT (126.868309 37.997654),경기도 연천군
7,2019-10-15,2019-10-16,강원도,철원군,원남면,죽대리,산157,38.305629,127.613226,폐사체,,,POINT (127.613226 38.305629),강원도 철원군
8,2019-10-16,2019-10-17,경기도,연천군,왕징면,강서리,1106,38.091466,126.938031,폐사체,,,POINT (126.938031 38.091466),경기도 연천군
9,2019-10-16,2019-10-17,경기도,파주시,장단면,거곡리,1066,37.872669,126.722001,폐사체,,,POINT (126.722001 37.872669),경기도 파주시
10,2019-10-19,2019-10-20,경기도,연천군,연천읍,와초리,615,38.161863,127.073799,폐사체,,,POINT (127.073799 38.161863),경기도 연천군
11,2019-10-20,2019-10-21,경기도,연천군,장남면,반정리,652-1,37.977525,126.820542,폐사체,,,POINT (126.820542 37.977525),경기도 연천군
12,2019-10-19,2019-10-21,강원도,철원군,원남면,죽대리,164,38.305278,127.610155,폐사체,,,POINT (127.610155 38.305278),강원도 철원군
13,2019-10-23,2019-10-23,경기도,파주시,장단면,석곶리,303,37.860881,126.718336,폐사체,,,POINT (126.718336 37.860881),경기도 파주시
14,2019-10-23,2019-10-23,경기도,파주시,장단면,석곶리,303,37.860881,126.718336,폐사체,,,POINT (126.718336 37.860881),경기도 파주시
15,2019-10-24,2019-10-25,강원도,철원군,원남면,죽대리,167,38.305738,127.611216,폐사체,,,POINT (127.611216 38.305738),강원도 철원군
16,2019-10-27,2019-10-28,경기도,연천군,연천읍,와초리,361,38.155363,127.07939,폐사체,,,POINT (127.07939 38.155363),경기도 연천군
17,2019-10-29,2019-10-30,경기도,파주시,군내면,백연리,398,37.901365,126.725543,폐사체,,,POINT (126.725543 37.901365),경기도 파주시
18,2019-10-29,2019-10-30,경기도,파주시,군내면,정자리,46,37.916952,126.767699,폐사체,,,POINT (126.767699 37.916952),경기도 파주시
19,2019-10-31,2019-11-01,경기도,연천군,신서면,답곡리,849,38.176665,127.072595,폐사체,,,POINT (127.072595 38.176665),경기도 연천군
20,2019-11-01,2019-11-02,강원도,철원군,원남면,진현리,39,38.313448,127.59989,폐사체,,,POINT (127.59989 38.313448),강원도 철원군
21,2019-11-06,2019-11-07,강원도,철원군,원남면,죽대리,167,38.305738,127.611216,폐사체,,,POINT (127.611216 38.305738),강원도 철원군
22,2019-11-06,2019-11-07,경기도,파주시,진동면,하포리,240,37.935856,126.814801,폐사체,,,POINT (126.814801 37.935856),경기도 파주시
23,2019-11-06,2019-11-08,강원도,철원군,원남면,진현리,313,38.302917,127.581556,포획개체,,,POINT (127.581556 38.302917),강원도 철원군
24,2019-11-12,2019-11-13,강원도,철원군,원남면,진현리,18,38.308583,127.605326,폐사체,,,POINT (127.605326 38.308583),강원도 철원군
25,2019-11-12,2019-11-13,강원도,철원군,원남면,진현리,18,38.308583,127.605326,폐사체,,,POINT (127.605326 38.308583),강원도 철원군
26,2019-11-20,2019-11-21,강원도,철원군,원남면,진현리,262,38.297157,127.592606,폐사체,,,POINT (127.592606 38.297157),강원도 철원군
27,2019-11-26,2019-11-27,강원도,철원군,원남면,진현리,80,38.305183,127.59889,폐사체,,,POINT (127.59889 38.305183),강원도 철원군
28,2019-11-26,2019-11-27,경기도,파주시,군내면,정자리,255,37.915344,126.766245,폐사체,,,POINT (126.766245 37.915344),경기도 파주시
29,2019-11-26,2019-11-27,경기도,파주시,진동면,동파리,372,37.902299,126.801256,폐사체,,,POINT (126.801256 37.902299),경기도 파주시
30,2019-11-27,2019-11-28,경기도,파주시,군내면,정자리,93,37.922092,126.762037,폐사체,,,POINT (126.762037 37.922092),경기도 파주시
31,2019-11-28,2019-11-29,경기도,파주시,군내면,정자리,206,37.916062,126.766955,폐사체,,,POINT (126.766955 37.916062),경기도 파주시
32,2019-11-28,2019-11-29,경기도,파주시,군내면,정자리,23,37.915454,126.769895,폐사체,,,POINT (126.769895 37.915454),경기도 파주시
33,2019-11-27,2019-11-30,경기도,연천군,신서면,덕산리,70,38.24733,127.082007,수렵개체,,,POINT (127.082007 38.24733),경기도 연천군
34,2019-11-29,2019-12-01,경기도,파주시,군내면,읍내리,511,37.935524,126.745207,폐사체,,,POINT (126.745207 37.935524),경기도 파주시
35,2019-11-30,2019-12-03,경기도,파주시,장단면,거곡리,461,37.885098,126.729952,폐사체,,,POINT (126.729952 37.885098),경기도 파주시
36,2019-12-02,2019-12-03,경기도,연천군,신서면,도신리,산120,38.168561,127.094143,폐사체,,,POINT (127.094143 38.168561),경기도 연천군
37,2019-12-03,2019-12-04,경기도,파주시,군내면,정자리,572,37.91368,126.746615,폐사체,,,POINT (126.746615 37.91368),경기도 파주시
38,2019-12-04,2019-12-05,경기도,파주시,진동면,하포리,1236,37.94046,126.788046,폐사체,,,POINT (126.788046 37.94046),경기도 파주시
39,2019-12-05,2019-12-06,경기도,파주시,진동면,하포리,1214,37.942121,126.788225,폐사체,,,POINT (126.788225 37.942121),경기도 파주시
40,2019-12-05,2019-12-06,강원도,철원군,갈말읍,신철원리,산5-1,38.13015833,127.35345833,폐사체,,,POINT (127.35345833 38.13015833),강원도 철원군
41,2019-12-04,2019-12-06,강원도,철원군,서면,와수리,산27,38.244637,127.460728,수렵개체,,,POINT (127.460728 38.244637),강원도 철원군
42,2019-12-10,2019-12-11,경기도,연천군,신서면,답곡리,804,38.17449,127.078773,폐사체,,,POINT (127.078773 38.17449),경기도 연천군
43,2019-12-10,2019-12-11,경기도,연천군,연천읍,와초리,602,38.160343,127.070788,폐사체,,,POINT (127.070788 38.160343),경기도 연천군
44,2019-12-11,2019-12-12,경기도,연천군,신서면,답곡리,산245,38.171317,127.070133,폐사체,,,POINT (127.070133 38.171317),경기도 연천군
45,2019-12-11,2019-12-13,경기도,연천군,신서면,답곡리,1555,38.199402,127.084345,수렵개체,,,POINT (127.084345 38.199402),경기도 연천군
46,2019-12-12,2019-12-13,강원도,철원군,갈말읍,상사리,808,38.227878,127.2609,폐사체,,,POINT (127.2609 38.227878),강원도 철원군
47,2019-12-16,2019-12-18,경기도,파주시,진동면,하포리,196,37.940999,126.81508,폐사체,,,POINT (126.81508 37.940999),경기도 파주시
48,2019-12-18,2019-12-19,경기도,연천군,신서면,도밀리,산11,38.255259,127.092613,폐사체,,,POINT (127.092613 38.255259),경기도 연천군
49,2019-12-18,2019-12-22,경기도,파주시,진동면,하포리,산108,37.916515,126.805505,폐사체,,,POINT (126.805505 37.916515),경기도 파주시
50,2019-12-20,2019-12-22,경기도,파주시,군내면,정자리,145,37.919556,126.760609,폐사체,,,POINT (126.760609 37.919556),경기도 파주시
51,2019-12-23,2019-12-24,경기도,연천군,신서면,답곡리,513,38.20293,127.08449,폐사체,,,POINT (127.08449 38.20293),경기도 연천군
52,2019-12-25,2019-12-26,경기도,연천군,신서면,마전리,1084,38.215157,127.057479,폐사체,,,POINT (127.057479 38.215157),경기도 연천군
53,2019-12-27,2019-12-28,강원도,철원군,갈말읍,상사리,808,38.229003,127.260904,폐사체,,,POINT (127.260904 38.229003),강원도 철원군
54,2019-12-28,2019-12-29,경기도,연천군,백학면,석장리,752,38.075607,126.923578,폐사체,,,POINT (126.923578 38.075607),경기도 연천군
55,2019-12-30,2019-12-31,경기도,연천군,신서면,답곡리,산194,38.180441,127.066175,폐사체,,,POINT (127.066175 38.180441),경기도 연천군
56,2019-12-30,2020-01-01,경기도,파주시,군내면,방목리,648,37.945859,126.759475,폐사체,,,POINT (126.759475 37.945859),경기도 파주시
57,2020-01-02,2020-01-03,경기도,연천군,중면,삼곶리,산128,38.152583,127.006355,폐사체,,,POINT (127.006355 38.152583),경기도 연천군
58,2020-01-03,2020-01-04,경기도,파주시,진동면,하포리,산69-1,37.947916,126.807981,폐사체,,,POINT (126.807981 37.947916),경기도 파주시
59,2020-01-03,2020-01-05,경기도,연천군,중면,마거리,산109,38.197501,127.040378,폐사체,,,POINT (127.040378 38.197501),경기도 연천군
60,2020-01-04,2020-01-05,경기도,연천군,왕징면,강서리,산4,38.101386,126.979707,폐사체,,,POINT (126.979707 38.101386),경기도 연천군
61,2020-01-04,2020-01-05,경기도,연천군,왕징면,강서리,산4,38.101386,126.979707,폐사체,,,POINT (126.979707 38.101386),경기도 연천군
62,2020-01-04,2020-01-05,경기도,연천군,신서면,신현리,4,38.236459,127.059461,폐사체,,,POINT (127.059461 38.236459),경기도 연천군
63,2020-01-06,2020-01-07,경기도,연천군,백학면,두일리,산172,38.0195,126.8955,폐사체,,,POINT (126.8955 38.0195),경기도 연천군
64,2020-01-06,2020-01-07,경기도,파주시,장단면,거곡리,685,37.868779,126.729138,폐사체,,,POINT (126.729138 37.868779),경기도 파주시
65,2020-01-06,2020-01-08,강원도,화천군,화천읍,풍산리,산269,38.259304,127.746292,폐사체,,,POINT (127.746292 38.259304),강원도 화천군
66,2020-01-07,2020-01-08,경기도,연천군,중면,중사리,산404,38.139859,126.997845,폐사체,,,POINT (126.997845 38.139859),경기도 연천군
67,2020-01-10,2020-01-11,경기도,파주시,군내면,백연리,산84,37.901151,126.728085,폐사체,,,POINT (126.728085 37.901151),경기도 파주시
68,2020-01-09,2020-01-11,경기도,파주시,진동면,동파리,산76,37.932483,126.791068,폐사체,,,POINT (126.791068 37.932483),경기도 파주시
69,2020-01-10,2020-01-11,강원도,화천군,화천읍,풍산리,산269,38.260811,127.749504,폐사체,,,POINT (127.749504 38.260811),강원도 화천군
70,2020-01-11,2020-01-13,강원도,화천군,화천읍,풍산리,산300,38.25791,127.769484,폐사체,,,POINT (127.769484 38.25791),강원도 화천군
71,2020-01-11,2020-01-13,강원도,화천군,화천읍,풍산리,산269,38.260319,127.749397,폐사체,,,POINT (127.749397 38.260319),강원도 화천군
72,2020-01-11,2020-01-13,강원도,화천군,화천읍,풍산리,산269,38.26038,127.747459,폐사체,,,POINT (127.747459 38.26038),강원도 화천군
73,2020-01-14,2020-01-15,경기도,연천군,장남면,반정리,446,37.962153,126.820073,폐사체,,,POINT (126.820073 37.962153),경기도 연천군
74,2020-01-14,2020-01-15,경기도,연천군,장남면,반정리,산111,37.962265,126.819826,폐사체,,,POINT (126.819826 37.962265),경기도 연천군
75,2020-01-14,2020-01-16,경기도,파주시,진동면,동파리,1073,37.93045,126.79255,폐사체,,,POINT (126.79255 37.93045),경기도 파주시
76,2020-01-14,2020-01-16,경기도,파주시,장단면,거곡리,675,37.866358,126.73165,폐사체,,,POINT (126.73165 37.866358),경기도 파주시
77,2020-01-14,2020-01-16,경기도,파주시,군내면,점원리,산181,37.912916,126.711692,폐사체,,,POINT (126.711692 37.912916),경기도 파주시
78,2020-01-14,2020-01-16,강원도,화천군,화천읍,풍산리,산269,38.260647,127.745399,폐사체,,,POINT (127.745399 38.260647),강원도 화천군
79,2020-01-14,2020-01-16,강원도,화천군,화천읍,풍산리,산267,38.195123,127.743177,폐사체,,,POINT (127.743177 38.195123),강원도 화천군
80,2020-01-15,2020-01-16,강원도,철원군,갈말읍,상사리,396-1,38.211309,127.271368,폐사체,,,POINT (127.271368 38.211309),강원도 철원군
81,2020-01-15,2020-01-16,강원도,철원군,갈말읍,상사리,543,38.21104,127.271645,폐사체,,,POINT (127.271645 38.21104),강원도 철원군
82,2020-01-15,2020-01-17,경기도,파주시,장단면,노상리,290,37.878464,126.716861,폐사체,,,POINT (126.716861 37.878464),경기도 파주시
83,2020-01-16,2020-01-17,강원도,화천군,화천읍,풍산리,산77,38.159216,127.735915,폐사체,,,POINT (127.735915 38.159216),강원도 화천군
84,2020-01-17,2020-01-18,경기도,파주시,진동면,동파리,1332,37.928819,126.783803,폐사체,,,POINT (126.783803 37.928819),경기도 파주시
85,2020-01-16,2020-01-18,경기도,파주시,진동면,동파리,114,37.924174,126.778997,폐사체,,,POINT (126.778997 37.924174),경기도 파주시
86,2020-01-16,2020-01-18,경기도,파주시,진동면,동파리,114,37.924174,126.778997,폐사체,,,POINT (126.778997 37.924174),경기도 파주시
87,2020-01-20,2020-01-21,강원도,화천군,화천읍,풍산리,산103,38.14999,127.733261,폐사체,,,POINT (127.733261 38.14999),강원도 화천군
88,2020-01-20,2020-01-21,강원도,화천군,화천읍,풍산리,692-28,38.149694,127.733329,폐사체,,,POINT (127.733329 38.149694),강원도 화천군
89,2020-01-20,2020-01-22,경기도,파주시,진동면,서곡리,산199,37.93,126.774092,폐사체,,,POINT (126.774092 37.93),경기도 파주시
90,2020-01-20,2020-01-22,경기도,파주시,진동면,서곡리,산199,37.93,126.774092,폐사체,,,POINT (126.774092 37.93),경기도 파주시
91,2020-01-20,2020-01-22,경기도,파주시,진동면,서곡리,862,37.93024,126.774461,폐사체,,,POINT (126.774461 37.93024),경기도 파주시
92,2020-01-20,2020-01-22,경기도,파주시,진동면,서곡리,862,37.93024,126.774461,폐사체,,,POINT (126.774461 37.93024),경기도 파주시
93,2020-01-20,2020-01-22,경기도,파주시,진동면,서곡리,산194,37.933922,126.772999,폐사체,,,POINT (126.772999 37.933922),경기도 파주시
94,2020-01-20,2020-01-22,경기도,파주시,진동면,서곡리,산194,37.933922,126.772999,폐사체,,,POINT (126.772999 37.933922),경기도 파주시
95,2020-01-20,2020-01-22,경기도,파주시,진동면,서곡리,산97,37.952482,126.771244,폐사체,,,POINT (126.771244 37.952482),경기도 파주시
96,2020-01-22,2020-01-23,강원도,화천군,화천읍,풍산리,산102,38.148769,127.73599,폐사체,,,POINT (127.73599 38.148769),강원도 화천군
97,2020-01-22,2020-01-23,강원도,화천군,화천읍,풍산리,산103,38.148812,127.733929,폐사체,,,POINT (127.733929 38.148812),강원도 화천군
98,2020-01-22,2020-01-23,강원도,화천군,화천읍,풍산리,산103,38.148812,127.733929,폐사체,,,POINT (127.733929 38.148812),강원도 화천군
99,2020-01-22,2020-01-23,경기도,파주시,장단면,노상리,264-1,37.88249,126.720471,폐사체,,,POINT (126.720471 37.88249),경기도 파주시
100,2020-01-22,2020-01-23,경기도,연천군,왕징면,강서리,396,38.101122,126.973482,폐사체,,,POINT (126.973482 38.101122),경기도 연천군
101,2020-01-22,2020-01-23,경기도,연천군,백학면,석장리,888-36,38.078725,126.924448,폐사체,,,POINT (126.924448 38.078725),경기도 연천군
102,2020-01-22,2020-01-23,강원도,화천군,화천읍,풍산리,432,38.160999,127.734241,폐사체,,,POINT (127.734241 38.160999),강원도 화천군
103,2020-01-22,2020-01-23,강원도,화천군,화천읍,풍산리,산77,38.159979,127.734733,폐사체,,,POINT (127.734733 38.159979),강원도 화천군
104,2020-01-22,2020-01-23,강원도,화천군,화천읍,풍산리,산82,38.159583,127.733388,폐사체,,,POINT (127.733388 38.159583),강원도 화천군
105,2020-01-22,2020-01-24,경기도,파주시,군내면,백연리,13,37.9235,126.739462,수렵개체,,,POINT (126.739462 37.9235),경기도 파주시
106,2020-01-23,2020-01-24,강원도,화천군,화천읍,풍산리,산92,38.153382,127.73701,폐사체,,,POINT (127.73701 38.153382),강원도 화천군
107,2020-01-24,2020-01-26,경기도,연천군,백학면,두현리,산17,38.024474,126.894,폐사체,,,POINT (126.894 38.024474),경기도 연천군
108,2020-01-24,2020-01-26,경기도,연천군,백학면,두현리,산17,38.024474,126.894,폐사체,,,POINT (126.894 38.024474),경기도 연천군
109,2020-01-24,2020-01-26,경기도,연천군,백학면,두현리,산17,38.024474,126.894,폐사체,,,POINT (126.894 38.024474),경기도 연천군
110,2020-01-24,2020-01-26,경기도,연천군,백학면,두현리,산17,38.024474,126.894,폐사체,,,POINT (126.894 38.024474),경기도 연천군
111,2020-01-24,2020-01-26,경기도,연천군,백학면,두현리,산17,38.024474,126.894,폐사체,,,POINT (126.894 38.024474),경기도 연천군
112,2020-01-24,2020-01-26,경기도,연천군,백학면,두현리,산17,38.024474,126.894,폐사체,,,POINT (126.894 38.024474),경기도 연천군
113,2020-01-24,2020-01-26,경기도,연천군,왕징면,강서리,산42,38.093692,126.986114,폐사체,,,POINT (126.986114 38.093692),경기도 연천군
114,2020-01-23,2020-01-26,경기도,파주시,진동면,하포리,421,37.917038,126.819191,수렵개체,,,POINT (126.819191 37.917038),경기도 파주시
115,2020-01-23,2020-01-26,경기도,파주시,진동면,동파리,산121,37.928701,126.779601,폐사체,,,POINT (126.779601 37.928701),경기도 파주시
116,2020-01-24,2020-01-27,강원도,화천군,상서면,산양리,산95,38.218181,127.689875,폐사체,,,POINT (127.689875 38.218181),강원도 화천군
117,2020-01-24,2020-01-27,강원도,화천군,상서면,산양리,산95,38.218181,127.689875,폐사체,,,POINT (127.689875 38.218181),강원도 화천군
118,2020-01-27,2020-01-28,경기도,연천군,백학면,두현리,78,38.0243,126.8939,폐사체,,,POINT (126.8939 38.0243),경기도 연천군
119,2020-01-27,2020-01-29,강원도,화천군,화천읍,풍산리,산70,38.161288,127.739272,폐사체,,,POINT (127.739272 38.161288),강원도 화천군
120,2020-01-27,2020-01-29,강원도,화천군,화천읍,풍산리,산35,38.16734,127.740501,폐사체,,,POINT (127.740501 38.16734),강원도 화천군
121,2020-01-27,2020-01-29,강원도,화천군,화천읍,풍산리,428,38.162382,127.736049,폐사체,,,POINT (127.736049 38.162382),강원도 화천군
122,2020-01-27,2020-01-29,강원도,화천군,화천읍,풍산리,418-1,38.165022,127.742604,폐사체,,,POINT (127.742604 38.165022),강원도 화천군
123,2020-01-27,2020-01-29,강원도,화천군,화천읍,풍산리,산97,38.152278,127.733027,폐사체,,,POINT (127.733027 38.152278),강원도 화천군
124,2020-01-27,2020-01-29,강원도,화천군,화천읍,풍산리,산78,38.162018,127.733914,폐사체,,,POINT (127.733914 38.162018),강원도 화천군
125,2020-01-28,2020-01-30,강원도,화천군,화천읍,풍산리,산54,38.172277,127.735921,폐사체,,,POINT (127.735921 38.172277),강원도 화천군
126,2020-01-28,2020-01-30,강원도,화천군,화천읍,풍산리,산60,38.17633,127.741093,폐사체,,,POINT (127.741093 38.17633),강원도 화천군
127,2020-01-28,2020-01-30,강원도,화천군,화천읍,풍산리,산60,38.177538,127.739962,폐사체,,,POINT (127.739962 38.177538),강원도 화천군
128,2020-01-28,2020-01-30,경기도,파주시,진동면,서곡리,286,37.933596,126.779402,폐사체,,,POINT (126.779402 37.933596),경기도 파주시
129,2020-01-28,2020-01-30,경기도,파주시,진동면,서곡리,286,37.933596,126.779402,폐사체,,,POINT (126.779402 37.933596),경기도 파주시
130,2020-01-27,2020-01-30,경기도,파주시,진동면,서곡리,산97,37.95204,126.770761,포획개체,,,POINT (126.770761 37.95204),경기도 파주시
131,2020-01-29,2020-01-31,강원도,화천군,화천읍,풍산리,산60,38.178416,127.741763,폐사체,,,POINT (127.741763 38.178416),강원도 화천군
132,2020-01-29,2020-01-31,강원도,화천군,화천읍,풍산리,산60,38.178415,127.742052,폐사체,,,POINT (127.742052 38.178415),강원도 화천군
133,2020-01-29,2020-01-31,경기도,연천군,중면,횡산리,504,38.121733,126.974232,폐사체,,,POINT (126.974232 38.121733),경기도 연천군
134,2020-01-30,2020-01-31,경기도,파주시,진동면,하포리,산136,37.935217,126.821013,포획개체,,,POINT (126.821013 37.935217),경기도 파주시
135,2020-01-30,2020-01-31,강원도,화천군,화천읍,신읍리,335,38.161016,127.718147,폐사체,,,POINT (127.718147 38.161016),강원도 화천군
136,2020-01-30,2020-01-31,강원도,화천군,화천읍,신읍리,산21,38.16285,127.718007,폐사체,,,POINT (127.718007 38.16285),강원도 화천군
137,2020-01-30,2020-01-31,강원도,화천군,화천읍,신읍리,산21,38.162622,127.71839,폐사체,,,POINT (127.71839 38.162622),강원도 화천군
138,2020-01-30,2020-01-31,강원도,화천군,화천읍,풍산리,산57,38.171842,127.740836,폐사체,,,POINT (127.740836 38.171842),강원도 화천군
139,2020-01-28,2020-02-02,경기도,파주시,진동면,동파리,산125,37.917468,126.780152,폐사체,,,POINT (126.780152 37.917468),경기도 파주시
140,2020-01-28,2020-02-02,경기도,파주시,진동면,하포리,산149,37.917468,126.821273,폐사체,,,POINT (126.821273 37.917468),경기도 파주시
141,2020-01-28,2020-02-02,경기도,파주시,진동면,하포리,산98,37.934425,126.803323,폐사체,,,POINT (126.803323 37.934425),경기도 파주시
142,2020-01-31,2020-02-02,경기도,연천군,신서면,답곡리,1024,38.205409,127.049089,폐사체,,,POINT (127.049089 38.205409),경기도 연천군
143,2020-01-31,2020-02-02,강원도,화천군,화천읍,신읍리,산22,38.166304,127.720469,폐사체,,,POINT (127.720469 38.166304),강원도 화천군
144,2020-01-31,2020-02-02,강원도,화천군,화천읍,신읍리,산22,38.166304,127.720469,폐사체,,,POINT (127.720469 38.166304),강원도 화천군
145,2020-01-31,2020-02-02,강원도,화천군,화천읍,신읍리,산22,38.166004,127.719796,폐사체,,,POINT (127.719796 38.166004),강원도 화천군
146,2020-01-31,2020-02-02,강원도,화천군,화천읍,신읍리,산238,38.174181,127.709108,폐사체,,,POINT (127.709108 38.174181),강원도 화천군
147,2020-02-01,2020-02-02,경기도,연천군,왕징면,작동리,산1,38.06695,126.915749,폐사체,,,POINT (126.915749 38.06695),경기도 연천군
148,2020-02-01,2020-02-02,강원도,화천군,화천읍,신읍리,340,38.161395,127.719144,폐사체,,,POINT (127.719144 38.161395),강원도 화천군
149,2020-02-02,2020-02-04,강원도,화천군,화천읍,풍산리,624-1,38.153235,127.727316,폐사체,,,POINT (127.727316 38.153235),강원도 화천군
150,2020-02-02,2020-02-04,강원도,화천군,화천읍,신읍리,산32,38.155684,127.718376,폐사체,,,POINT (127.718376 38.155684),강원도 화천군
151,2020-02-02,2020-02-04,강원도,화천군,화천읍,풍산리,947-2,38.141777,127.736295,폐사체,,,POINT (127.736295 38.141777),강원도 화천군
152,2020-02-02,2020-02-04,강원도,화천군,화천읍,풍산리,산60,38.17006,127.734426,폐사체,,,POINT (127.734426 38.17006),강원도 화천군
153,2020-02-02,2020-02-04,강원도,화천군,화천읍,풍산리,산56,38.170436,127.734941,폐사체,,,POINT (127.734941 38.170436),강원도 화천군
154,2020-02-03,2020-02-04,경기도,파주시,진동면,서곡리,산90,37.955069,126.774051,폐사체,,,POINT (126.774051 37.955069),경기도 파주시
155,2020-02-03,2020-02-04,강원도,화천군,화천읍,풍산리,산60,38.177185,127.731004,폐사체,,,POINT (127.731004 38.177185),강원도 화천군
156,2020-02-03,2020-02-04,강원도,화천군,화천읍,풍산리,산60,38.177382,127.730805,폐사체,,,POINT (127.730805 38.177382),강원도 화천군
157,2020-02-03,2020-02-04,강원도,화천군,화천읍,풍산리,산60,38.177382,127.730805,폐사체,,,POINT (127.730805 38.177382),강원도 화천군
158,2020-02-03,2020-02-04,강원도,화천군,화천읍,풍산리,산60,38.176758,127.731294,폐사체,,,POINT (127.731294 38.176758),강원도 화천군
159,2020-02-03,2020-02-04,강원도,화천군,화천읍,풍산리,산60,38.176261,127.731781,폐사체,,,POINT (127.731781 38.176261),강원도 화천군
160,2020-02-03,2020-02-04,강원도,화천군,상서면,봉오리,산1,38.203891,127.616476,폐사체,,,POINT (127.616476 38.203891),강원도 화천군
161,2020-02-03,2020-02-04,경기도,연천군,백학면,석장리,698,38.073803,126.925527,폐사체,,,POINT (126.925527 38.073803),경기도 연천군
162,2020-02-03,2020-02-04,경기도,연천군,왕징면,작동리,407,38.066885,126.915658,폐사체,,,POINT (126.915658 38.066885),경기도 연천군
163,2020-02-03,2020-02-04,경기도,연천군,백학면,석장리,산214,38.066161,126.918686,폐사체,,,POINT (126.918686 38.066161),경기도 연천군
164,2020-02-03,2020-02-04,경기도,연천군,왕징면,고잔하리,160,38.104592,126.953347,폐사체,,,POINT (126.953347 38.104592),경기도 연천군
165,2020-02-04,2020-02-05,경기도,연천군,백학면,석장리,819,38.0663,126.9194,폐사체,,,POINT (126.9194 38.0663),경기도 연천군
166,2020-02-04,2020-02-05,경기도,연천군,백학면,석장리,754,38.0751,126.927,폐사체,,,POINT (126.927 38.0751),경기도 연천군
167,2020-02-04,2020-02-06,강원도,화천군,화천읍,풍산리,산57,38.171459,127.740183,폐사체,,,POINT (127.740183 38.171459),강원도 화천군
168,2020-02-04,2020-02-06,강원도,화천군,상서면,부촌리,산1,38.197237,127.695789,폐사체,,,POINT (127.695789 38.197237),강원도 화천군
169,2020-02-04,2020-02-06,경기도,연천군,왕징면,작동리,410,38.06481,126.91611,폐사체,,,POINT (126.91611 38.06481),경기도 연천군
170,2020-02-06,2020-02-07,경기도,연천군,중면,삼곶리,533,38.140165,127.014697,폐사체,,,POINT (127.014697 38.140165),경기도 연천군
171,2020-02-07,2020-02-09,경기도,연천군,중면,적거리,410,38.157487,127.019978,폐사체,,,POINT (127.019978 38.157487),경기도 연천군
172,2020-02-07,2020-02-09,강원도,철원군,근남면,양지리,75,38.283729,127.535526,폐사체,,,POINT (127.535526 38.283729),강원도 철원군
173,2020-02-07,2020-02-09,강원도,화천군,상서면,부촌리,51-1,38.191658,127.691644,폐사체,,,POINT (127.691644 38.191658),강원도 화천군
174,2020-02-07,2020-02-09,강원도,화천군,간동면,방천리,산12,38.088303,127.865615,수렵개체,,,POINT (127.865615 38.088303),강원도 화천군
175,2020-02-08,2020-02-10,강원도,화천군,화천읍,풍산리,산77,38.160107,127.734956,폐사체,,,POINT (127.734956 38.160107),강원도 화천군
176,2020-02-09,2020-02-10,경기도,연천군,왕징면,작동리,산108,38.067456,126.912481,폐사체,,,POINT (126.912481 38.067456),경기도 연천군
177,2020-02-08,2020-02-10,경기도,연천군,왕징면,작동리,349,38.071092,126.915218,폐사체,,,POINT (126.915218 38.071092),경기도 연천군
178,2020-02-10,2020-02-11,강원도,화천군,상서면,부촌리,57,38.193906,127.687803,폐사체,,,POINT (127.687803 38.193906),강원도 화천군
179,2020-02-10,2020-02-11,강원도,화천군,상서면,부촌리,산29,38.190935,127.677603,폐사체,,,POINT (127.677603 38.190935),강원도 화천군
180,2020-02-10,2020-02-11,경기도,연천군,중면,합수리,산17,38.160711,127.054225,폐사체,,,POINT (127.054225 38.160711),경기도 연천군
181,2020-02-10,2020-02-11,경기도,연천군,중면,적거리,산124,38.164044,127.020174,폐사체,,,POINT (127.020174 38.164044),경기도 연천군
182,2020-02-10,2020-02-11,경기도,연천군,장남면,반정리,1119-6,37.973276,126.828462,폐사체,,,POINT (126.828462 37.973276),경기도 연천군
183,2020-02-10,2020-02-11,경기도,연천군,장남면,반정리,342,37.971316,126.82468,폐사체,,,POINT (126.82468 37.971316),경기도 연천군
184,2020-02-11,2020-02-12,강원도,화천군,간동면,방천리,산86,38.089542,127.855155,폐사체,,,POINT (127.855155 38.089542),강원도 화천군
185,2020-02-11,2020-02-12,강원도,화천군,간동면,방천리,산86,38.089542,127.855155,폐사체,,,POINT (127.855155 38.089542),강원도 화천군
186,2020-02-11,2020-02-13,강원도,화천군,상서면,노동리,산2,38.183329,127.685284,폐사체,,,POINT (127.685284 38.183329),강원도 화천군
187,2020-02-11,2020-02-13,강원도,화천군,상서면,부촌리,산21,38.192785,127.691689,폐사체,,,POINT (127.691689 38.192785),강원도 화천군
